Location,county,IndexYear,Population,Total,Rate,PrsnTotal,PrsnRate,Murder,Manslaughter,Forcible_Sex,Assault,Non_Forcible_Sex,Kidnapping_Abduction,Human_Trafficking,Viol_Of_No_Contact,PrprtyTotal,PrprtyRate,Arson,Bribery,Burglary,Counterfeiting_Forgery,Destruction_of_Property,Extortion_Blackmail,Robbery,Theft,SctyTotal,SctyRate,Drug_Violations,Gambling_Violations,Pornography,Prostitution,Weapon_Law_Violation,Animal_Cruelty
Tumwater Police Department,THURSTON,2018,23842.0,1755,73.6,428,17.95151413,1,0,31,311,1,5,0,79.0,1194,50.0796913,2,0,157,27,249,1,9,749.0,133,5.578391075,123,0,0,0,10,0
Tumwater Police Department,THURSTON,2019,24060.0,1491,62.0,350,14.54696592,0,0,26,237,1,3,0,83.0,999,41.52119701,1,0,102,16,163,0,18,699.0,142,5.901911887,123,0,5,2,12,0
Tumwater Police Department,THURSTON,2020,24600.0,1402,57.0,324,13.17073171,0,0,23,203,7,6,0,85.0,970,39.43089431,2,0,97,9,201,1,13,647.0,108,4.390243902,95,0,3,0,10,0
Tumwater Police Department,THURSTON,2021,25360.0,1434,56.5,325,12.81545741,0,0,31,212,2,5,0,75.0,1068,42.11356467,2,0,120,9,236,0,9,692.0,41,1.616719243,20,0,4,0,17,0
Yelm Police Department,THURSTON,2014,7915.0,617,78.0,131,16.55085281,0,0,17,93,0,3,0,18.0,439,55.46430828,3,0,44,8,68,0,4,312.0,47,5.93809223,43,0,1,0,3,0
Yelm Police Department,THURSTON,2015,8165.0,804,98.5,159,19.4733619,0,0,12,116,1,1,0,29.0,583,71.402327,0,0,41,12,82,1,7,440.0,62,7.5933864,53,0,0,0,9,0
Yelm Police Department,THURSTON,2016,8480.0,986,116.3,179,21.10849057,0,0,5,133,0,8,0,33.0,714,84.19811321,0,0,43,23,96,0,3,549.0,93,10.96698113,83,0,1,0,9,0
Yelm Police Department,THURSTON,2017,8665.0,968,111.7,167,19.2729371,0,0,10,124,0,3,0,30.0,722,83.3237161,1,0,45,42,80,0,7,547.0,79,9.117137911,67,0,0,0,12,0
Yelm Police Department,THURSTON,2018,9030.0,798,88.4,179,19.82281285,0,0,10,131,1,2,0,35.0,540,59.80066445,2,0,43,25,80,0,4,386.0,79,8.748615725,71,0,0,0,8,0
Yelm Police Department,THURSTON,2019,9135.0,797,87.2,167,18.28133552,0,0,4,128,0,2,0,33.0,546,59.77011494,3,0,38,31,65,0,6,403.0,84,9.195402299,73,0,0,0,11,0
Yelm Police Department,THURSTON,2020,9400.0,681,72.4,142,15.10638298,0,0,11,105,1,4,0,21.0,492,52.34042553,1,0,61,16,55,0,4,355.0,47,5,42,0,2,0,3,0
Yelm Police Department,THURSTON,2021,9470.0,381,40.2,74,7.814149947,0,0,7,56,0,1,0,10.0,297,31.36219641,0,0,45,7,47,1,2,195.0,10,1.055966209,4,0,1,0,3,2
COUNTY TOTAL,WAHKIAKUM,2012,4025.0,61,15.2,29,7.2,0,0,2,21,1,0,0,5.0,24,6,0,0,7,0,3,0,0,14.0,8,2,7,0,0,0,1,0
COUNTY TOTAL,WAHKIAKUM,2013,4020.0,78,19.4,31,7.7,0,0,5,25,1,0,0,0.0,35,8.7,0,0,9,0,7,0,0,19.0,12,3,12,0,0,0,0,0
COUNTY TOTAL,WAHKIAKUM,2014,4010.0,112,27.9,47,11.7,0,0,0,36,0,1,0,10.0,53,13.2,0,0,15,1,10,0,0,27.0,12,3,7,0,1,0,4,0
COUNTY TOTAL,WAHKIAKUM,2015,3980.0,142,35.7,55,13.8,0,0,2,43,0,0,0,10.0,81,20.4,0,0,23,3,16,0,0,39.0,6,1.5,5,0,0,0,1,0
COUNTY TOTAL,WAHKIAKUM,2016,4000.0,137,34.3,67,16.8,0,0,2,55,2,0,0,8.0,68,17,0,0,14,0,15,0,0,39.0,2,0.5,2,0,0,0,0,0
COUNTY TOTAL,WAHKIAKUM,2017,4030.0,195,48.4,76,18.9,0,0,1,62,0,0,0,13.0,97,24.1,0,0,12,1,29,0,0,55.0,22,5.5,18,0,2,0,1,1
COUNTY TOTAL,WAHKIAKUM,2018,4100.0,144,35.1,61,14.9,0,0,3,49,0,0,0,9.0,73,17.8,0,0,13,0,13,0,0,47.0,10,2.4,9,0,1,0,0,0
COUNTY TOTAL,WAHKIAKUM,2019,4190.0,99,23.6,41,9.8,0,0,3,28,2,0,0,8.0,47,11.2,0,0,9,1,10,1,0,26.0,11,2.6,8,0,1,0,0,2
COUNTY TOTAL,WAHKIAKUM,2020,4210.0,110,26.1,43,10.2,0,0,3,35,0,0,0,5.0,60,14.3,2,0,7,2,18,0,0,31.0,7,1.7,6,0,1,0,0,0
COUNTY TOTAL,WAHKIAKUM,2021,4275.0,123,28.8,44,10.3,0,0,7,28,0,0,0,9.0,64,15,0,0,12,1,12,0,2,37.0,15,3.5,11,0,1,0,3,0
Wahkiakum County Sheriffs Office,WAHKIAKUM,2012,4025.0,61,15.2,29,7.204968944,0,0,2,21,1,0,0,5.0,24,5.962732919,0,0,7,0,3,0,0,14.0,8,1.98757764,7,0,0,0,1,0
Wahkiakum County Sheriffs Office,WAHKIAKUM,2013,4020.0,78,19.4,31,7.711442786,0,0,5,25,1,0,0,0.0,35,8.706467662,0,0,9,0,7,0,0,19.0,12,2.985074627,12,0,0,0,0,0
Wahkiakum County Sheriffs Office,WAHKIAKUM,2014,4010.0,112,27.9,47,11.72069825,0,0,0,36,0,1,0,10.0,53,13.21695761,0,0,15,1,10,0,0,27.0,12,2.992518703,7,0,1,0,4,0
Wahkiakum County Sheriffs Office,WAHKIAKUM,2015,3980.0,142,35.7,55,13.8190955,0,0,2,43,0,0,0,10.0,81,20.3517588,0,0,23,3,16,0,0,39.0,6,1.5075377,5,0,0,0,1,0
Wahkiakum County Sheriffs Office,WAHKIAKUM,2016,4000.0,137,34.3,67,16.75,0,0,2,55,2,0,0,8.0,68,17,0,0,14,0,15,0,0,39.0,2,0.5,2,0,0,0,0,0
Wahkiakum County Sheriffs Office,WAHKIAKUM,2017,4030.0,195,48.4,76,18.85856079,0,0,1,62,0,0,0,13.0,97,24.06947891,0,0,12,1,29,0,0,55.0,22,5.459057072,18,0,2,0,1,1
Wahkiakum County Sheriffs Office,WAHKIAKUM,2018,4100.0,144,35.1,61,14.87804878,0,0,3,49,0,0,0,9.0,73,17.80487805,0,0,13,0,13,0,0,47.0,10,2.43902439,9,0,1,0,0,0
Wahkiakum County Sheriffs Office,WAHKIAKUM,2019,4190.0,99,23.6,41,9.785202864,0,0,3,28,2,0,0,8.0,47,11.21718377,0,0,9,1,10,1,0,26.0,11,2.625298329,8,0,1,0,0,2
Wahkiakum County Sheriffs Office,WAHKIAKUM,2020,4210.0,110,26.1,43,10.21377672,0,0,3,35,0,0,0,5.0,60,14.25178147,2,0,7,2,18,0,0,31.0,7,1.662707838,6,0,1,0,0,0
Wahkiakum County Sheriffs Office,WAHKIAKUM,2021,4275.0,123,28.8,44,10.29239766,0,0,7,28,0,0,0,9.0,64,14.97076023,0,0,12,1,12,0,2,37.0,15,3.50877193,11,0,1,0,3,0
COUNTY TOTAL,WALLA WALLA,2012,27360.0,1354,49.5,262,9.6,1,0,15,206,1,2,0,37.0,953,34.8,4,0,176,4,174,2,4,589.0,139,5.1,123,0,2,0,14,0
COUNTY TOTAL,WALLA WALLA,2013,59500.0,4163,70.0,696,11.7,0,0,33,531,3,19,0,110.0,3179,53.4,15,0,409,24,821,0,16,1894.0,288,4.8,255,0,3,0,30,0
COUNTY TOTAL,WALLA WALLA,2014,60720.0,4274,70.4,738,12.2,2,0,40,591,4,12,0,89.0,3199,52.7,23,0,408,43,801,5,14,1905.0,337,5.6,288,0,8,0,41,0
COUNTY TOTAL,WALLA WALLA,2015,60652.0,4259,70.2,804,13.3,4,0,61,577,9,12,0,141.0,3183,52.5,30,0,377,35,730,3,24,1984.0,272,4.5,225,0,8,1,38,0
COUNTY TOTAL,WALLA WALLA,2016,61113.0,4387,71.8,856,14,2,0,54,560,5,20,0,215.0,3221,52.7,20,0,355,60,796,6,21,1963.0,310,5.1,251,0,12,0,47,0
COUNTY TOTAL,WALLA WALLA,2017,61419.0,3791,61.7,886,14.4,1,0,67,625,1,12,0,180.0,2616,42.6,17,0,247,44,550,6,25,1727.0,289,4.7,230,0,8,1,47,3
COUNTY TOTAL,WALLA WALLA,2018,61807.0,3872,62.6,827,13.4,1,0,57,599,5,6,0,159.0,2633,42.6,22,0,265,34,579,10,15,1708.0,412,6.7,345,0,6,0,56,5
COUNTY TOTAL,WALLA WALLA,2019,62221.0,3784,60.8,829,13.3,3,0,55,543,2,11,0,215.0,2556,41.1,8,0,290,49,623,6,18,1562.0,399,6.4,333,0,10,1,49,6
COUNTY TOTAL,WALLA WALLA,2020,62668.0,3413,54.5,665,10.6,1,0,61,421,0,18,0,164.0,2298,36.7,9,0,268,43,478,7,14,1479.0,450,7.2,375,0,11,2,57,5
COUNTY TOTAL,WALLA WALLA,2021,62385.0,2771,44.4,632,10.1,1,0,44,407,3,17,0,160.0,1926,30.9,8,0,208,27,434,5,13,1231.0,213,3.4,157,0,11,0,38,7
College Place Police Department,WALLA WALLA,2012,8845.0,342,38.7,57,6.444318824,0,0,4,44,0,1,0,8.0,257,29.05596382,1,0,31,3,6,2,1,213.0,28,3.1656303,24,0,1,0,3,0
College Place Police Department,WALLA WALLA,2013,8875.0,370,41.7,69,7.774647887,0,0,4,49,0,2,0,14.0,282,31.77464789,1,0,50,1,5,0,1,224.0,19,2.14084507,17,0,0,0,2,0
College Place Police Department,WALLA WALLA,2014,9050.0,380,42.0,67,7.403314917,0,0,0,55,0,2,0,10.0,292,32.26519337,1,0,36,2,15,1,1,236.0,21,2.320441989,18,0,0,0,3,0
College Place Police Department,WALLA WALLA,2015,9112.0,424,46.5,76,8.3406497,0,0,5,47,0,0,0,24.0,325,35.667252,1,0,41,2,9,1,0,271.0,23,2.524144,19,0,1,0,3,0
College Place Police Department,WALLA WALLA,2016,9247.0,436,47.2,76,8.2188818,0,0,6,51,0,1,0,18.0,346,37.41754082,2,0,27,0,23,1,1,292.0,14,1.514004542,9,0,2,0,3,0
College Place Police Department,WALLA WALLA,2017,9453.0,405,42.8,78,8.251348778,0,0,2,56,0,1,0,19.0,316,33.4285412,3,0,31,1,22,2,0,257.0,11,1.163651751,8,0,1,0,2,0
College Place Police Department,WALLA WALLA,2018,9595.0,242,25.2,49,5.106826472,0,0,2,41,0,0,0,6.0,180,18.75977071,2,0,14,1,16,0,1,146.0,13,1.354872329,8,0,1,0,4,0
College Place Police Department,WALLA WALLA,2019,9665.0,318,32.9,64,6.62183135,0,0,1,41,0,0,0,22.0,227,23.48680807,1,0,30,5,28,0,1,162.0,27,2.793585101,24,0,1,0,1,1
College Place Police Department,WALLA WALLA,2020,9780.0,327,33.4,49,5.010224949,0,0,2,33,0,0,0,14.0,249,25.4601227,0,0,20,4,16,1,1,207.0,29,2.965235174,19,0,0,0,10,0
College Place Police Department,WALLA WALLA,2021,9675.0,336,34.7,71,7.338501292,0,0,4,51,0,2,0,14.0,251,25.94315245,1,0,30,1,22,0,1,196.0,14,1.447028424,7,0,0,0,7,0
Walla Walla County Sheriffs Office,WALLA WALLA,2012,18515.0,1012,54.7,205,11.0721037,1,0,11,162,1,1,0,29.0,696,37.59114232,3,0,145,1,168,0,3,376.0,111,5.995139076,99,0,1,0,11,0
Walla Walla County Sheriffs Office,WALLA WALLA,2013,18695.0,819,43.8,170,9.093340465,0,0,8,136,0,0,0,26.0,581,31.0778283,3,0,129,2,146,0,1,300.0,68,3.637336186,59,0,0,0,9,0
Walla Walla County Sheriffs Office,WALLA WALLA,2014,18840.0,766,40.7,182,9.66029724,1,0,5,150,1,2,0,23.0,519,27.5477707,3,0,100,1,125,2,0,288.0,65,3.450106157,59,0,0,0,6,0
Walla Walla County Sheriffs Office,WALLA WALLA,2015,18150.0,598,32.9,128,7.0523416,0,0,5,113,2,1,0,7.0,442,24.3526171,12,0,80,3,116,0,1,230.0,28,1.5426997,25,0,0,0,3,0
Walla Walla County Sheriffs Office,WALLA WALLA,2016,18145.0,751,41.4,200,11.0223202,0,0,12,145,2,1,0,40.0,518,28.54780931,1,0,87,4,138,1,2,285.0,33,1.818682833,30,0,1,0,2,0
Walla Walla County Sheriffs Office,WALLA WALLA,2017,18120.0,796,43.9,223,12.30684327,0,0,17,168,0,5,0,33.0,516,28.47682119,3,0,62,10,119,1,1,320.0,57,3.145695364,48,0,2,0,6,1
Walla Walla County Sheriffs Office,WALLA WALLA,2018,18210.0,841,46.2,203,11.14772103,1,0,13,159,2,2,0,26.0,578,31.74080176,5,0,80,7,131,3,1,351.0,60,3.294892916,48,0,1,0,10,1
Walla Walla County Sheriffs Office,WALLA WALLA,2019,18295.0,837,45.8,170,9.292156327,1,0,7,118,0,1,0,43.0,600,32.79584586,2,0,93,9,146,1,1,348.0,67,3.662202788,55,0,1,0,8,3
Walla Walla County Sheriffs Office,WALLA WALLA,2020,18400.0,944,51.3,180,9.782608696,1,0,15,120,0,5,0,39.0,712,38.69565217,2,0,115,3,153,0,2,437.0,52,2.826086957,42,0,1,0,8,1
Walla Walla County Sheriffs Office,WALLA WALLA,2021,18565.0,749,40.3,164,8.833827094,0,0,8,116,1,2,0,37.0,556,29.94882844,1,0,85,8,125,3,4,330.0,29,1.562079181,16,0,1,0,7,5
Walla Walla Police Department,WALLA WALLA,2013,31930.0,2974,93.1,457,14.31255872,0,0,21,346,3,17,0,70.0,2316,72.5336674,11,0,230,21,670,0,14,1370.0,201,6.295020357,179,0,3,0,19,0
Walla Walla Police Department,WALLA WALLA,2014,32830.0,3128,95.3,489,14.89491319,1,0,35,386,3,8,0,56.0,2388,72.73834907,19,0,272,40,661,2,13,1381.0,251,7.645446238,211,0,8,0,32,0
Walla Walla Police Department,WALLA WALLA,2015,33390.0,3237,96.9,600,17.9694519,4,0,51,417,7,11,0,110.0,2416,72.3569931,17,0,256,30,605,2,23,1483.0,221,6.6187481,181,0,7,1,32,0
Walla Walla Police Department,WALLA WALLA,2016,33721.0,3200,94.9,580,17.19996441,2,0,36,364,3,18,0,157.0,2357,69.89709676,17,0,241,56,635,4,18,1386.0,263,7.799294208,212,0,9,0,42,0
Walla Walla Police Department,WALLA WALLA,2017,33846.0,2590,76.5,585,17.28416947,1,0,48,401,1,6,0,128.0,1784,52.7093305,11,0,154,33,409,3,24,1150.0,221,6.529575134,174,0,5,1,39,2
Walla Walla Police Department,WALLA WALLA,2018,34002.0,2789,82.0,575,16.91076995,0,0,42,399,3,4,0,127.0,1875,55.14381507,15,0,171,26,432,7,13,1211.0,339,9.970001765,289,0,4,0,42,4
Walla Walla Police Department,WALLA WALLA,2019,34261.0,2629,76.7,595,17.36668515,2,0,47,384,2,10,0,150.0,1729,50.46554391,5,0,167,35,449,5,16,1052.0,305,8.902250372,254,0,8,1,40,2
Walla Walla Police Department,WALLA WALLA,2020,34488.0,2142,62.1,436,12.6420784,0,0,44,268,0,13,0,111.0,1337,38.7671074,7,0,133,36,309,6,11,835.0,369,10.6993737,314,0,10,2,39,4
Walla Walla Police Department,WALLA WALLA,2021,34145.0,1686,49.4,397,11.62688534,1,0,32,240,2,13,0,109.0,1119,32.77200176,6,0,93,18,287,2,8,705.0,170,4.978767023,134,0,10,0,24,2
Bellingham Police Department,WHATCOM,2012,81360.0,8098,99.5,1159,14.2453294,0,0,51,880,5,19,0,204.0,6553,80.5432645,5,0,607,143,1606,1,51,4140.0,386,4.744346116,317,0,0,16,53,0
Bellingham Police Department,WHATCOM,2013,82391.0,8088,98.2,1086,13.18105133,2,0,67,781,4,29,0,203.0,6598,80.08156231,3,0,627,189,1454,1,49,4275.0,404,4.903448192,314,0,4,32,54,0
Bellingham Police Department,WHATCOM,2014,82810.0,8762,105.8,1066,12.87284144,1,0,64,743,3,16,0,239.0,7262,87.69472286,2,0,730,224,1518,0,64,4724.0,434,5.240912933,334,0,10,27,63,0
Bellingham Police Department,WHATCOM,2015,83580.0,8128,97.2,1097,13.1251496,1,1,65,786,7,18,0,219.0,6700,80.1627184,1,0,553,156,1310,2,45,4633.0,331,3.9602776,264,0,13,12,42,0
Bellingham Police Department,WHATCOM,2016,84850.0,8804,103.8,1089,12.83441367,0,0,92,820,9,22,0,146.0,7364,86.78845021,18,0,756,130,1413,0,47,5000.0,351,4.136711844,278,0,14,7,52,0
Bellingham Police Department,WHATCOM,2017,86720.0,7915,91.3,1190,13.72232472,2,0,67,885,6,10,0,220.0,6329,72.98201107,10,0,591,131,1301,5,73,4218.0,396,4.566420664,323,0,25,2,46,0
Bellingham Police Department,WHATCOM,2018,88500.0,7248,81.9,1237,13.97740113,1,0,52,912,6,17,0,249.0,5625,63.55932203,6,0,464,125,1470,5,54,3501.0,386,4.361581921,304,0,16,7,59,0
Bellingham Police Department,WHATCOM,2019,90553.0,6699,74.0,1337,14.76483385,4,0,47,1015,5,19,0,247.0,5011,55.337758,6,0,408,104,1055,1,69,3368.0,351,3.876183009,244,0,23,13,71,0
Bellingham Police Department,WHATCOM,2020,91610.0,8533,93.1,1203,13.13175418,1,0,45,848,1,20,0,288.0,7091,77.40421351,18,3,648,138,1473,14,82,4715.0,239,2.608885493,153,0,14,1,71,0
Bellingham Police Department,WHATCOM,2021,90620.0,9405,103.8,1475,16.2767601,2,1,36,1105,6,20,0,305.0,7760,85.63231075,19,1,647,105,1688,10,134,5156.0,170,1.875965571,50,0,12,5,103,0
Blaine Police Department,WHATCOM,2012,4760.0,300,63.0,39,8.193277311,0,0,2,35,2,0,0,0.0,151,31.72268908,1,0,22,0,8,0,1,119.0,110,23.1092437,103,0,0,0,7,0
Blaine Police Department,WHATCOM,2013,4785.0,268,56.0,50,10.44932079,0,0,2,37,1,0,0,10.0,203,42.42424242,1,0,26,0,12,0,0,164.0,15,3.134796238,14,0,0,0,1,0
Blaine Police Department,WHATCOM,2014,4865.0,319,65.6,49,10.07194245,0,0,3,43,1,1,0,1.0,242,49.74306269,2,0,15,25,41,0,0,159.0,28,5.755395683,19,0,1,0,8,0
Blaine Police Department,WHATCOM,2015,4905.0,422,86.0,87,17.7370031,0,0,7,53,2,0,0,25.0,305,62.1814475,3,0,45,26,87,0,1,143.0,30,6.116208,25,0,1,0,4,0
Blaine Police Department,WHATCOM,2016,4944.0,332,67.2,76,15.37216828,0,0,2,50,1,3,0,20.0,211,42.67799353,0,0,26,13,44,0,1,127.0,45,9.101941748,43,0,0,0,2,0
Blaine Police Department,WHATCOM,2017,5075.0,404,79.6,84,16.55172414,0,0,4,56,1,2,0,21.0,275,54.18719212,1,0,46,19,58,0,2,149.0,45,8.866995074,41,0,1,0,3,0
Blaine Police Department,WHATCOM,2018,5315.0,45,8.5,11,2.069614299,0,0,1,6,0,0,0,4.0,29,5.45625588,0,0,2,4,4,0,0,19.0,5,0.940733772,5,0,0,0,0,0
Blaine Police Department,WHATCOM,2019,5425.0,221,40.7,87,16.03686636,0,0,3,55,0,1,0,28.0,107,19.7235023,0,0,18,8,33,1,0,47.0,27,4.976958525,20,0,2,1,4,0
Blaine Police Department,WHATCOM,2020,5520.0,375,67.9,104,18.84057971,0,0,6,74,0,2,0,22.0,221,40.03623188,0,0,55,14,44,3,0,105.0,50,9.057971014,36,0,3,0,11,0
Blaine Police Department,WHATCOM,2021,5700.0,311,54.6,87,15.26315789,0,0,0,57,0,3,0,27.0,210,36.84210526,0,0,44,3,46,0,0,117.0,14,2.456140351,8,0,0,0,6,0
COUNTY TOTAL,WHATCOM,2012,115605.0,11155,96.5,1752,15.2,4,0,108,1345,9,34,0,252.0,8440,73,13,0,869,183,2110,1,56,5208.0,963,8.3,863,0,2,16,82,0
COUNTY TOTAL,WHATCOM,2013,117605.0,10903,92.7,1656,14.1,2,0,117,1227,7,41,0,262.0,8478,72.1,11,0,862,240,1925,1,55,5384.0,769,6.5,658,0,7,32,72,0
COUNTY TOTAL,WHATCOM,2014,207600.0,14629,70.5,2415,11.6,2,1,160,1718,9,46,0,479.0,11195,53.9,22,0,1410,320,2335,2,86,7020.0,1019,4.9,843,0,12,30,134,0
COUNTY TOTAL,WHATCOM,2015,209790.0,13437,64.0,2390,11.4,6,1,160,1751,18,37,0,417.0,10165,48.5,16,0,1147,219,2161,4,63,6555.0,882,4.2,755,0,22,13,92,0
COUNTY TOTAL,WHATCOM,2016,212554.0,14348,67.5,2470,11.6,4,0,200,1793,22,53,0,398.0,10902,51.3,32,1,1388,205,2259,3,69,6945.0,976,4.6,822,0,24,9,121,0
COUNTY TOTAL,WHATCOM,2017,216300.0,13763,63.6,2515,11.6,4,0,181,1801,19,35,0,475.0,10079,46.6,25,1,1161,240,2178,10,96,6368.0,1169,5.4,1019,0,31,4,115,0
COUNTY TOTAL,WHATCOM,2018,220350.0,12592,57.1,2503,11.4,2,0,150,1786,11,44,0,510.0,9122,41.4,23,0,971,233,2283,11,79,5522.0,967,4.4,829,0,22,9,105,2
COUNTY TOTAL,WHATCOM,2019,225743.0,11441,50.7,2506,11.1,9,0,125,1799,11,41,0,521.0,8114,35.9,17,0,865,209,1720,13,84,5206.0,821,3.6,643,0,34,15,126,3
COUNTY TOTAL,WHATCOM,2020,228000.0,14371,63.0,2317,10.2,7,0,121,1589,8,40,0,552.0,11390,50,36,3,1185,238,2213,28,95,7592.0,664,2.9,503,0,24,1,133,3
COUNTY TOTAL,WHATCOM,2021,228759.0,13970,61.1,2507,11,6,1,109,1975,13,31,0,593.0,11154,48.8,25,2,1171,184,2525,26,143,7525.0,309,1.4,274,0,17,5,147,2
Everson Police Department,WHATCOM,2012,3890.0,87,22.4,31,7.969151671,0,0,2,25,1,0,0,3.0,48,12.33933162,0,0,4,0,16,0,0,28.0,8,2.05655527,8,0,0,0,0,0
Everson Police Department,WHATCOM,2013,3960.0,117,29.5,30,7.575757576,0,0,1,27,0,0,0,2.0,84,21.21212121,1,0,11,1,24,0,0,47.0,3,0.757575758,3,0,0,0,0,0
Everson Police Department,WHATCOM,2014,4005.0,113,28.2,34,8.489388265,0,0,0,19,0,0,0,15.0,78,19.47565543,1,0,8,0,19,0,1,49.0,1,0.24968789,1,0,0,0,0,0
Everson Police Department,WHATCOM,2015,4040.0,70,17.3,21,5.1980198,0,0,0,19,0,0,0,2.0,49,12.1287129,0,0,1,0,16,0,0,32.0,0,0,0,0,0,0,0,0
Everson Police Department,WHATCOM,2016,4075.0,74,18.2,14,3.435582822,0,0,0,14,0,0,0,0.0,60,14.72392638,0,0,2,0,20,0,0,38.0,0,0,0,0,0,0,0,0
Everson Police Department,WHATCOM,2017,4120.0,66,16.0,14,3.398058252,0,0,0,12,0,0,0,2.0,52,12.62135922,0,0,2,0,12,0,0,38.0,0,0,0,0,0,0,0,0
Everson Police Department,WHATCOM,2018,4230.0,38,9.0,5,1.182033097,0,0,0,5,0,0,0,0.0,33,7.80141844,0,0,2,0,13,0,0,18.0,0,0,0,0,0,0,0,0
Everson Police Department,WHATCOM,2019,4405.0,77,17.5,20,4.540295119,0,0,0,17,0,0,0,3.0,57,12.93984109,1,0,2,2,13,0,0,39.0,0,0,0,0,0,0,0,0
Everson Police Department,WHATCOM,2020,4505.0,75,16.6,17,3.773584906,0,0,0,11,0,0,0,6.0,58,12.8745838,1,0,3,1,17,0,0,36.0,0,0,0,0,0,0,0,0
Everson Police Department,WHATCOM,2021,4689.0,63,13.4,21,4.478566859,0,0,1,17,0,0,0,3.0,42,8.957133717,0,0,1,0,17,0,0,24.0,0,0,0,0,0,0,0,0
Ferndale Police Department,WHATCOM,2012,11837.0,886,74.9,149,12.5876489,0,0,8,109,0,5,0,27.0,645,54.49015798,3,0,79,21,177,0,2,363.0,92,7.772239588,78,0,1,0,13,0
Ferndale Police Department,WHATCOM,2013,12290.0,814,66.2,145,11.79820993,0,0,8,113,0,4,0,20.0,592,48.16924329,2,0,80,25,132,0,4,349.0,77,6.265256306,67,0,3,0,7,0
Ferndale Police Department,WHATCOM,2014,12710.0,857,67.4,178,14.00472069,0,0,8,120,1,9,0,40.0,586,46.1054288,1,0,69,20,128,0,3,365.0,93,7.317073171,81,0,0,0,12,0
Ferndale Police Department,WHATCOM,2015,12920.0,685,53.0,151,11.6873065,0,0,9,112,3,3,0,24.0,466,36.0681115,0,0,54,15,87,0,1,309.0,68,5.2631579,57,0,0,0,11,0
Ferndale Police Department,WHATCOM,2016,13250.0,699,52.8,127,9.58490566,0,0,10,75,2,6,0,34.0,490,36.98113208,2,0,52,17,89,2,3,325.0,82,6.188679245,61,0,3,1,17,0
Ferndale Police Department,WHATCOM,2017,13470.0,622,46.2,115,8.53749072,1,0,11,77,2,1,0,23.0,467,34.66963623,0,0,55,26,97,1,4,284.0,40,2.96956199,32,0,0,2,6,0
Ferndale Police Department,WHATCOM,2018,13640.0,661,48.5,133,9.750733138,0,0,9,102,1,2,0,19.0,487,35.70381232,2,0,50,30,94,3,2,306.0,41,3.005865103,30,0,2,0,9,0
Ferndale Police Department,WHATCOM,2019,14300.0,800,55.9,160,11.18881119,0,0,16,112,1,4,0,27.0,524,36.64335664,1,0,54,40,74,2,4,349.0,116,8.111888112,100,0,2,0,14,0
Ferndale Police Department,WHATCOM,2020,14600.0,815,55.8,119,8.150684932,0,0,3,94,0,1,0,21.0,652,44.65753425,2,0,77,31,133,5,2,402.0,44,3.01369863,40,0,1,0,3,0
Ferndale Police Department,WHATCOM,2021,15270,817,53.50360183,158,10.34708579,0,0,3,119,2,1,0,33,646,42.30517354,0,0,53,35,163,2,3,390,13,0.851342502,6,0,1,0,6,0
Lummi Tribal Police Department,WHATCOM,2012,,859,,237,,3,0,36,193,1,4,0,0.0,411,,2,0,111,6,73,0,1,218.0,211,,209,0,0,0,2,0
Lummi Tribal Police Department,WHATCOM,2013,0.0,825,0.0,224,0,0,0,36,181,0,7,0,0.0,412,0,2,0,78,6,78,0,1,247.0,189,0,186,0,0,0,3,0
Lummi Tribal Police Department,WHATCOM,2014,0.0,834,0.0,189,0,0,1,23,158,0,7,0,0.0,475,0,5,0,83,7,84,0,6,290.0,170,0,169,0,0,0,1,0
Lummi Tribal Police Department,WHATCOM,2015,0.0,720,0.0,181,0,0,0,20,158,0,3,0,0.0,360,0,2,0,75,1,59,1,3,219.0,179,0,176,0,1,0,2,0
Lummi Tribal Police Department,WHATCOM,2016,0.0,711,0.0,162,0,0,0,19,140,0,3,0,0.0,378,0,1,0,88,2,52,1,2,232.0,171,0,167,0,0,0,4,0
Lummi Tribal Police Department,WHATCOM,2017,0.0,889,0.0,196,0,1,0,30,158,0,7,0,0.0,471,0,0,0,114,6,54,0,3,294.0,222,0,216,0,2,0,4,0
Lummi Tribal Police Department,WHATCOM,2018,0,538,0,146,0,1,0,13,129,0,3,0,0,233,0,1,0,54,10,36,0,5,127,159,0,157,0,0,2,0,0
Lummi Tribal Police Department,WHATCOM,2021,0.0,,,,,0,0,9,136,0,0,0,76.0,,,1,1,86,9,80,3,2,265.0,,,132,0,0,0,3,1
Lynden Police Department,WHATCOM,2012,12359.0,497,40.2,90,7.282142568,1,0,2,72,0,4,0,11.0,297,24.03107047,1,0,29,10,68,0,1,188.0,110,8.900396472,106,0,0,0,4,0
Lynden Police Department,WHATCOM,2013,12730.0,363,28.5,71,5.577376277,0,0,1,52,2,1,0,15.0,241,18.9316575,1,0,28,18,58,0,1,135.0,51,4.006284368,48,0,0,0,3,0
Lynden Police Department,WHATCOM,2014,12920.0,352,27.2,69,5.340557276,0,0,7,48,1,2,0,11.0,237,18.34365325,0,0,17,8,30,0,1,181.0,46,3.560371517,40,0,0,0,6,0
Lynden Police Department,WHATCOM,2015,13090.0,327,25.0,81,6.1879297,0,0,4,61,1,2,0,13.0,222,16.9595111,0,0,26,4,38,0,3,151.0,24,1.8334607,19,0,1,0,4,0
